Etichette di riga;Somma di 2024 Val.netto;Somma di 2025  Val.netto;Somma di Delta;Somma di Delta %
4M REFAI SRL;60,71;;-60,71;-100%
SPAMI SRL UNIPERSONALE;199,87;30,56;-169,31;-85%
O.M.A. SRL;3021,02;36,56;-2984,46;-99%
REXEL ITALIA SPA POMEZIA;2906,41;50,33;-2856,08;-98%
IMA SPA - HEADQUARTER;867,56;83,73;-783,83;-90%
OFFICINE MECCANICHE GALLETTI SRL;4236,2;88,6;-4147,6;-98%
SALVAGNINI ITALIA SPA;4633,21;95,37;-4537,84;-98%
B.I.ME SRL;1602,5;133,64;-1468,86;-92%
CAREDDU RAIMONDO SRL;655,79;157,46;-498,33;-76%
ELETTROMECCANICA VAL DI SANGRO SRL;;245,88;245,88;#DIV/0!
ALE SRL;100;1000;900;10%
